route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
Orange,1,Orange-1-OB-1-Full,,0,OR-OB-FULL,1,2
Orange,1,Orange-1-OB-2-Full,,0,OR-OB-FULL,1,2
Orange,1,Orange-1-OB-3-Full,,0,OR-OB-FULL,1,2
Orange,1,Orange-1-OB-4-Full,,0,OR-OB-FULL,1,2
Orange,1,Orange-1-OB-5-Full,,0,OR-OB-FULL,1,2
Orange,1,Orange-1-OB-6-Full,,0,OR-OB-FULL,1,2
Orange,1,Orange-1-OB-7-Full,,0,OR-OB-FULL,1,2
Orange,1,Orange-1-OB-8-Full,,0,OR-OB-FULL,1,2
Orange,1,Orange-1-OB-9-Full,,0,OR-OB-FULL,1,2
Orange,1,Orange-1-OB-10-Full,,0,OR-OB-FULL,1,2
Orange,1,Orange-1-IB-1-Full,,1,OR-IB-FULL,1,2
Orange,1,Orange-1-IB-2-Full,,1,OR-IB-FULL,1,2
Orange,1,Orange-1-IB-3-Full,,1,OR-IB-FULL,1,2
Orange,1,Orange-1-IB-4-Full,,1,OR-IB-FULL,1,2
Orange,1,Orange-1-IB-5-Full,,1,OR-IB-FULL,1,2
Orange,1,Orange-1-IB-6-Full,,1,OR-IB-FULL,1,2
Orange,1,Orange-1-IB-7-Full,,1,OR-IB-FULL,1,2
Orange,1,Orange-1-IB-8-Full,,1,OR-IB-FULL,1,2
Orange,1,Orange-1-IB-9-Full,,1,OR-IB-FULL,1,2
Orange,1,Orange-1-IB-10-Full,,1,OR-IB-FULL,1,2
WedWintersville,weds,Wwintersville-1-OB-1-Full,,0,WW-OB-FULL,1,2
WedWintersville,weds,Wwintersville-1-OB-2-Full,,0,WW-OB-FULL,1,2
WedWintersville,weds,Wwintersville-1-OB-3-Full,,0,WW-OB-FULL,1,2
WedWintersville,weds,Wwintersville-1-IB-1-Partial,,1,WW-IB-SHORT,1,2
WedWintersville,weds,Wwintersville-1-IB-2-Partial,,1,WW-IB-SHORT,1,2
WedWintersville,weds,Wwintersville-1-IB-3-Full,,1,WW-IB-FULL,1,2
Green,1,Green-1-OB-Full-1,,0,GR-OB-FULL,1,2
Green,1,Green-1-OB-XP-2,,0,GR-OB-XP,1,2
Green,1,Green-1-OB-Full-3,,0,GR-OB-FULL,1,2
Green,1,Green-1-OB-XP-4,,0,GR-OB-XP,1,2
Green,1,Green-1-OB-Full-5,,0,GR-OB-FULL,1,2
Green,1,Green-1-OB-XP-6,,0,GR-OB-XP,1,2
Green,1,Green-1-OB-Full-7,,0,GR-OB-FULL,1,2
Green,1,Green-1-OB-XP-8,,0,GR-OB-XP,1,2
Green,1,Green-1-OB-Full-9,,0,GR-OB-FULL,1,2
Green,1,Green-1-OB-XP-10,,0,GR-OB-XP,1,2
Green,1,Green-1-IB-XP-1,,1,GR-IB-XP,1,2
Green,1,Green-1-IB-Full-2,,1,GR-IB-FULL,1,2
Green,1,Green-1-IB-XP-3,,1,GR-IB-XP,1,2
Green,1,Green-1-IB-Full-4,,1,GR-IB-FULL,1,2
Green,1,Green-1-IB-XP-5,,1,GR-IB-XP,1,2
Green,1,Green-1-IB-Full-6,,1,GR-IB-FULL,1,2
Green,1,Green-1-IB-XP-7,,1,GR-IB-XP,1,2
Green,1,Green-1-IB-Full-8,,1,GR-IB-FULL,1,2
Green,1,Green-1-IB-XP-9,,1,GR-IB-XP,1,2
Green,1,Green-1-IB-Full-10,,1,GR-IB-FULL,1,2
GreenXP,1,GreenXP-1-OB-Full-1,,0,GRXP-OB-FULL,1,2
GreenXP,1,GreenXP-1-OB-Full-2,,0,GRXP-OB-FULL,1,2
GreenXP,1,GreenXP-1-OB-Full-3,,0,GRXP-OB-FULL,1,2
GreenXP,1,GreenXP-1-OB-Full-4,,0,GRXP-OB-FULL,1,2
GreenXP,1,GreenXP-1-OB-Full-5,,0,GRXP-OB-FULL,1,2
GreenXP,1,GreenXP-1-IB-Full-1,,1,GRXP-IB-FULL,1,2
GreenXP,1,GreenXP-1-IB-Full-2,,1,GRXP-IB-FULL,1,2
GreenXP,1,GreenXP-1-IB-Full-3,,1,GRXP-IB-FULL,1,2
GreenXP,1,GreenXP-1-IB-Full-4,,1,GRXP-IB-FULL,1,2
GreenXP,1,GreenXP-1-IB-Full-5,,1,GRXP-IB-FULL,1,2
MnTripper,2,MngTripper-2-OB-Full-1,,0,MingoTripper-OB-FULL,1,2
MnTripper,2,MngTripper-2-OB-Partial-2,,0,MingoTripper-OB-SHORT,1,2
MnTripper,2,MngTripper-2-OB-Full-3,,0,MingoTripper-OB-FULL,1,2
MnTripper,2,MngTripper-2-OB-Partial-4,,0,MingoTripper-OB-SHORT,1,2
MnTripper,2,MngTripper-2-OB-Full-5,,0,MingoTripper-OB-FULL,1,2
MnTripper,2,MngTripper-2-IB-Short-1,,1,MingoTripper-IB-SHORT,1,2
MnTripper,2,MngTripper-2-IB-Partial-2,,1,MingoTripper-IB-PARTIAL,1,2
MnTripper,2,MngTripper-2-IB-Lunch-3,,1,MingoTripper-IB-SHORT,1,2
MnTripper,2,MngTripper-2-IB-Partial-4,,1,MingoTripper-IB-PARTIAL,1,2
MnTripper,2,MngTripper-2-IB-Evening-5,,1,MingoTripper-IB-EVENING,1,2
RaylandTripper,1,Rayland-OB-Early-1,,0,RaylandTripper-OB-Early,1,2
RaylandTripper,1,Rayland-OB-Full-2,,0,RaylandTripper-OB-FULL,1,2
RaylandTripper,1,Rayland-OB-Full-3,,0,RaylandTripper-OB-FULL,1,2
RaylandTripper,1,Rayland-OB-Full-4,,0,RaylandTripper-OB-FULL,1,2
RaylandTripper,1,Rayland-OB-Full-5,,0,RaylandTripper-OB-FULL,1,2
RaylandTripper,1,Rayland-OB-Full-6,,0,RaylandTripper-OB-FULL,1,2
RaylandTripper,1,Rayland-OB-Full-7,,0,RaylandTripper-OB-FULL,1,2
RaylandTripper,1,Rayland-IB-Early-1,,1,RaylandTripper-IB-EARLY,1,2
RaylandTripper,1,Rayland-IB-Full-2,,1,RaylandTripper-IB-FULL,1,2
RaylandTripper,1,Rayland-IB-Full-3,,1,RaylandTripper-IB-FULL,1,2
RaylandTripper,1,Rayland-IB-Full-4,,1,RaylandTripper-IB-FULL,1,2
RaylandTripper,1,Rayland-IB-XP-5,,1,RaylandTripper-IB-XP,1,2
RaylandTripper,1,Rayland-IB-Full-6,,1,RaylandTripper-IB-FULL,1,2
RaylandTripper,1,Rayland-IB-Full-7,,1,RaylandTripper-IB-FULL,1,2
PurpleXP,1,Purple-OB-Short-1,,0,Purple-OB-SHORT,1,2
